,z,cps_name,lib_obs,source,source_name,ObsAdded,Assigned to,Observed,TIC,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,vsini,Plx,u_Plx,Plx_source,Vmag,snr,ra,dec,simbadname,,
8,252,HIP97051,rj59.397,Gaidos,HD355784,1,SK,1,388521607,4199.725,247.929,0.631,0.057,4.7,0.07,-0.19,0.1,0.62,0.07,9.59,0.52,,38.45,0.27,Gaia,9.958,130.628,295.8555658,10.0895125,GJ_9667,-12.3,0.24
6,249,HIP5663,rj128.549,Gaidos,HD7279,1,SK,,11518255,4186.195,222.148,0.672,0.055,4.67,0.05,-0.05,0.1,0.66,0.06,9.58,0.52,,44,0.32,Gaia,9.539,159.648,18.19221292,-25.23557861,HD_7279,-4.827,0.001
4,243,HIP40910,rj149.142,Gaidos,GJ3494,1,SK,,60285843,4159.484,227.577,0.633,0.053,4.67,0.05,-0.06,0.1,0.64,0.06,9.6,0.52,,44.35,0.27,Gaia,9.748,165.927,125.2305379,14.07133278,GJ_3494,6.99,0.24
2,234,HIP114156,rj59.1640,Gaidos,HD218294,1,SK,,204325307,4146.3,208.784,0.66,0.051,4.67,0.05,-0.02,0.1,0.65,0.06,9.59,0.52,,45.08,0.28,Gaia,9.64,131.046,346.7794133,-23.15945167,GJ_889_A,15.32,0.2
11,255,157881,rj76.1490,Mann,Gl 673,1,SK,1,327860248,4124,60,0.649,0.02,4.663,0.048,0.19,0.08,0.706,0.071,9.65,0.52,,129.26,0.26,Gaia,7.56,164.598,261.4384679,2.11142278,GJ_673,-35.44,0.001
18,262,28343,rj131.943,Mann,Gl 169,1,SK,1,17558287,4124,62,0.687,0.023,4.636,0.048,0.39,0.08,0.744,0.074,9.77,0.51,,89.04,0.26,Gaia,8.3,165.025,67.25051625,21.92269944,GJ_169,-23.523,0.0016
75,389,88230,rj72.72,Von Braun,GJ380,1,SK,1,371520835,4085,14,0.64,0.005,4.64,0.01,-0.16,0.1,0.63,0.01,10.14,0.09,,205.22,0.81,Hipparcos,6.61,165.074,152.8422521,49.45423798,GJ_380,-25.916,0.0021
0,232,HIP10337,rj137.108,Gaidos,GJ1044,1,SK,2,268804174,4050.899,239.294,0.694,0.072,4.67,0.06,0.12,0.1,0.65,0.07,9.6,0.53,,42.62,0.85,Gaia,9.831,164.162,33.30068542,-21.19645333,GJ_1044,2.983,0.001
3,238,HIP1532,rj131.363,Gaidos,GJ1008.0,1,SK,,37749396,4038.623,241.011,0.594,0.055,4.71,0.06,-0.37,0.1,0.58,0.06,9.6,0.53,,49.28,0.39,Gaia,9.897,159.783,4.77317625,-9.9648525,NLTT_988,-11.121,0.0011
1,233,HIP105341,rj59.403,Gaidos,HD203040,1,SK,,439391442,4032.522,241.874,0.673,0.063,4.67,0.05,-0.05,0.1,0.64,0.07,9.64,0.52,,63.22,0.53,Gaia,9.086,132.701,320.0575903,-19.85228459,LHS_3657,17.798,0.0011
59,303,HIP60093,rj67.535,Mann,Gl 459.3,1,SK,2,328860504,3993,60,0.643,0.037,4.669,0.056,0.46,0.08,0.703,0.07,9.58,0.52,,42.18,0.4,Gaia,10.64,148.964,184.8503783,28.38237167,LHS_2544,-0.83,0.22
9,253,111631,rj55.1182,Mann,Gl 488,1,SK,,53280272,3989,60,0.646,0.02,4.662,0.048,0.24,0.08,0.698,0.07,9.79,0.51,,93.69,0.51,Gaia,8.47,174.35,192.6815283,-0.76813,GJ_488,5.025,0.0011
5,247,HIP4845,rj134.232,Gaidos,GJ3072,1,SK,1,24250831,3966.998,301.067,0.632,0.073,4.72,0.12,-0.19,0.1,0.59,0.09,9.62,0.52,,46.71,0.4,Gaia,9.993,164.29,15.58805917,-10.42385889,GJ_3072,8.912,0.0012
16,260,245409,rj222.308,Mann,Gl 208,1,SK,1,436248822,3966,60,0.601,0.02,4.691,0.048,0.05,0.08,0.646,0.065,9.66,0.52,,87.66,0.29,Gaia,8.898,168.363,84.12912708,11.32786889,GJ_208,21.96,0.0003
70,358,201092,rj08.1230,Von Braun,GJ820B,1,SK,1,165602023,3932,25,0.601,0.007,4.67,0.01,-0.29,0.1,0.6,0.01,10.09,0.21,,285.42,0.72,Hipparcos,6.03,179.999,316.7302665,38.74205645,GJ_820_B,-64.248,0.0009
15,259,232979,rj63.1050,Mann,Gl 172,1,SK,1,274545692,3929,60,0.608,0.02,4.684,0.048,-0.11,0.08,0.651,0.065,9.78,0.51,,101.23,0.32,Gaia,8.863,174.945,69.42054333,52.893615,GJ_172,34.24,0.0003
74,385,79210,rj63.1374,Von Braun,GJ338A,1,SK,,251078595,3907,35,0.577,0.013,4.7,0.02,-0.18,0.1,0.58,0.02,9.85,0.51,,161.59,5.23,Hipparcos,7.63,174.66,138.5949649,52.68658906,GJ_338_A,11.5,1.00E-04
7,250,HIP66222,rj90.713,Gaidos,GJ1172,1,SK,1,365159477,3904.208,266.489,0.667,0.087,4.7,0.07,-0.11,0.1,0.59,0.08,9.62,0.52,,48.78,1.62,Hipparcos,9.927,165.256,203.5895918,4.66739895,GJ_1172,14.969,0.0017
58,302,HIP59748,rj67.506,Mann,Gl 458.2,1,SK,1,53580461,3900,61,0.669,0.038,4.633,0.056,0.14,0.08,0.701,0.07,9.84,0.51,,43.81,0.85,Gaia,10.507,154.846,183.7868458,48.73257167,NLTT_30123,-13.24,0.24
78,393,GL338B,rj185.874,Von Braun,GJ338B,1,CC,,251078597,3867,37,0.567,0.014,4.71,0.02,-0.15,0.1,0.57,0.02,9.82,0.5,,158.96,0.39,Gaia,7.72,158.984,138.6028283,52.68636639,GJ_338_B,12.43,1.00E-04
14,258,209290,rj134.384,Mann,Gl 846,1,CC,,292987389,3848,60,0.546,0.019,4.735,0.048,0.02,0.08,0.59,0.059,9.56,0.52,,94.22,0.66,Gaia,9.146,165.6,330.5428129,1.40023111,GJ_846,18.25,0.0004
23,267,GL239,rj63.473,Mann,Gl 239,1,CC,,307809773,3801,60,0.423,0.015,4.859,0.049,-0.34,0.08,0.471,0.047,9.49,0.52,,99.5,0.53,Gaia,9.593,165.503,99.29499542,17.56481528,GJ_239,-58.321,0.0136
73,374,36395,rj85.328,Von Braun,GJ205,1,CC,1,50726077,3801,9,0.574,0.004,4.7,0.01,0.35,0.1,0.6,0.01,9.76,0.49,,177.08,0.98,Gaia,7.968,164.941,82.86414917,-3.67722806,GJ_205,8.56,1.00E-04
41,285,HIP11048,rj64.154,Mann,Gl 96,1,CC,1,409527090,3785,62,0.599,0.021,4.672,0.048,0.14,0.08,0.614,0.061,9.85,0.49,,83.93,1.3,Hipparcos,9.345,162.252,35.56101487,47.88002594,GJ_96,-37.94,0.001
43,287,HIP115562,rj15.943,Mann,Gl 895,1,CC,,427162854,3764,60,0.539,0.02,4.742,0.049,0.31,0.08,0.585,0.058,9.55,0.52,,75.77,0.45,Gaia,10.113,161.113,351.1271442,57.85431028,GJ_895,-33.185,0.0012
36,280,GL875,rj190.1206,Mann,Gl 875,1,CC,1,36595140,3740,61,0.563,0.024,4.699,0.051,0.02,0.08,0.578,0.058,9.77,0.51,,71.43,1.84,Hipparcos,9.847,159.356,342.5809347,-7.0901037,GJ_875,-6.03,0.26
28,272,GL514,rj55.901,Mann,Gl 514,1,CC,1,404519959,3727,61,0.483,0.016,4.792,0.048,-0.09,0.08,0.527,0.053,9.54,0.52,,131.12,1.29,Hipparcos,9.029,174.088,202.4991092,10.37716412,GJ_514,14.47,0.0003
71,362,216899,rj59.1926,Von Braun,GJ880,1,CC,,217331269,3713,11,0.548,0.005,4.72,0.01,0.06,0.1,0.56,0.01,9.99,0.39,,145.98,0.51,Gaia,8.638,174.238,344.1450192,16.55343194,GJ_880,-27.5,0.0002
44,288,HIP15366,rj165.57,Mann,Gl 134,1,CC,2,178078333,3700,61,0.628,0.031,4.648,0.053,0.53,0.08,0.639,0.064,9.76,0.51,,57.75,2.19,Hipparcos,10.28,164.158,49.5311655,38.25207011,GJ_134,-4.21,0.0013
54,298,HIP51007,rj118.812,Mann,Gl 390,1,CC,,36879392,3700,60,0.497,0.02,4.762,0.05,-0.02,0.08,0.52,0.052,9.63,0.53,,78.31,0.41,Gaia,10.139,164.406,156.2951546,-10.22869222,GJ_390,21.605,0.0007
52,296,HIP46769,rj06.1489,Mann,Gl 353,1,CC,1,450298091,3692,60,0.518,0.021,4.736,0.05,-0.2,0.08,0.532,0.053,9.72,0.52,,73.63,0.33,Gaia,10.139,116.001,142.9847204,36.32022889,GJ_353,19.862,0.0016
69,355,199305,rj59.1033,Von Braun,GJ809,1,CC,1,365670764,3692,22,0.547,0.007,4.72,0.01,-0.21,0.1,0.54,0.01,10.09,0.21,,142.17,0.31,Gaia,8.6,174.424,313.3324538,62.15439333,GJ_809,-17.168,0.0011
50,294,HIP36834,rj15.1501,Mann,Gl 277.1,1,CC,,85208537,3681,60,0.385,0.016,4.866,0.051,-0.37,0.08,0.397,0.04,9.62,0.52,,85.21,0.28,Gaia,10.39,155.362,113.6143046,62.94148861,LHS_6128,-41.998,0.0149
77,391,GJ176,rj216.111,Von Braun,GJ176,1,CC,1,397354290,3679,77,0.453,0.022,4.8,0.03,0.15,0.1,0.49,0.04,9.6,0.53,,106.32,0.6,Gaia,9.951,56.855,70.73239542,18.95816639,GJ_176,26.236,0.0007
72,365,217987,rj59.2221,Von Braun,GJ887,1,CC,,155315739,3676,35,0.471,0.009,4.79,0.02,-0.19,0.1,0.49,0.02,9.66,0.53,,303.9,0.87,Hipparcos,7.34,174.79,346.4668168,-35.85306875,GJ_887,8.82,0.0002
46,290,HIP21556,rj85.326,Mann,Gl 173,1,CC,,55997717,3671,61,0.444,0.017,4.818,0.049,-0.04,0.08,0.472,0.047,9.55,0.52,,89.46,0.36,Gaia,10.331,163.681,69.42444125,-11.03888083,GJ_173,-6.763,0.0008
30,274,GL686,rj59.1273,Mann,Gl 686,1,CC,1,230241767,3657,60,0.424,0.015,4.829,0.048,-0.25,0.08,0.442,0.044,9.63,0.53,,123.02,1.62,Hipparcos,9.577,173.907,264.4722788,18.59171147,GJ_686,-9.61,0.0005
61,305,HIP65016,rj67.533,Mann,Gl 507.1,1,CC,1,105618383,3650,60,0.598,0.025,4.661,0.051,0.4,0.08,0.597,0.06,9.87,0.5,,58.94,0.41,Gaia,10.598,153.246,199.9171904,33.34652972,NLTT_33716,-11.701,0.0017
38,282,GL908,rj38.271,Mann,Gl 908,1,CC,,267255253,3646,60,0.407,0.014,4.83,0.048,-0.45,0.08,0.408,0.041,9.72,0.52,,169.09,0.38,Gaia,8.993,173.827,357.3021888,2.40122278,GJ_908,-71.16,0.0003
35,279,GL87,rj61.724,Mann,Gl 87,1,CC,1,270415707,3638,62,0.443,0.017,4.789,0.049,-0.36,0.08,0.44,0.044,9.74,0.52,,94.79,0.39,Gaia,10.042,147.122,33.0874475,3.57562,GJ_87,-2.562,0.0007
26,270,GL382,rj118.811,Mann,Gl 382,1,CC,,77612635,3623,60,0.522,0.019,4.723,0.049,0.13,0.08,0.525,0.053,9.75,0.52,,127.99,1.53,Hipparcos,9.264,163.942,153.073621,-3.74566572,GJ_382,7.87,0.0003
65,318,119850,rj55.902,Von Braun,GJ526,1,CC,1,72465347,3618,31,0.484,0.008,4.78,0.02,-0.3,0.1,0.5,0.02,9.84,0.49,,184.13,1.27,Hipparcos,8.5,173.618,206.4324027,14.89151763,GJ_526,15.74,0.0002
12,256,165222,rj55.1440,Mann,Gl 701,1,CC,1,41378014,3614,60,0.459,0.016,4.788,0.048,-0.22,0.08,0.471,0.047,9.7,0.52,,128.28,1.44,Hipparcos,9.36,174.517,271.281579,-3.03132152,GJ_701,32.688,0.0005
45,289,HIP1734,rj15.517,Mann,GJ 1009,1,CC,,251823163,3600,60,0.528,0.028,4.734,0.054,0.27,0.08,0.551,0.055,9.69,0.52,,55.18,0.5,Gaia,11.13,98.97,5.48351917,-31.40605833,GJ_1009,16.93,0.21
85,403,HIP83043,rj59.1277,Von Braun,GJ649,1,AL,1,236743275,3590,45,0.539,0.016,4.75,0.02,-0.04,0.1,0.52,0.02,9.89,0.48,,96.38,0.35,Gaia,9.655,168.321,254.5368733,25.74415917,GJ_649,4.337,0.0012
66,323,1326,rj08.880,Von Braun,GJ15,1,AL,2,440109725,3567,11,0.386,0.002,4.87,0.01,-0.36,0.1,0.4,0.01,9.66,0.52,,280.74,0.31,Gaia,8.13,180.02,4.59536042,44.0229575,GJ_15_A,11.73,1.00E-04
13,257,180617,rj59.992,Mann,Gl 752A,1,AL,1,176188045,3558,60,0.474,0.016,4.764,0.048,0.1,0.08,0.475,0.047,9.7,0.52,,169.43,0.36,Gaia,9.115,172.39,289.2302358,5.16890056,LHS_473,35.884,0.0004
27,271,GL393,rj55.1377,Mann,Gl 393,1,AL,1,277888583,3548,60,0.42,0.016,4.821,0.05,-0.18,0.08,0.426,0.043,9.66,0.52,,138.29,2.13,Hipparcos,9.65,166.095,157.231462,0.84100607,GJ_393,8.36,0.0004
39,283,HIP104432,rj59.2216,Mann,Gl 821,1,AL,,214576902,3545,60,0.369,0.016,4.856,0.051,-0.45,0.08,0.356,0.036,9.7,0.52,,84.93,0.35,Gaia,10.869,123.281,317.3226105,-13.30250347,GJ_821,-58.257,0.0014
33,277,GL806,rj59.1030,Mann,Gl 806,1,AL,2,239332587,3542,61,0.443,0.018,4.781,0.05,-0.15,0.08,0.432,0.043,9.72,0.52,,83,0.4,Gaia,10.704,135.921,311.2670796,44.49906833,GJ_806,-24.72,0.0012
40,284,HIP109388,rj02.945,Mann,Gl 849,1,AL,1,248027247,3530,60,0.47,0.018,4.777,0.049,0.37,0.08,0.482,0.048,9.65,0.52,,113.25,0.32,Gaia,10.366,135.931,332.4181021,-4.64073556,GJ_849,-15.3,0.0005
47,291,HIP22762,rj97.2842,Mann,Gl 180,1,AL,,246902275,3506,60,0.421,0.019,4.806,0.051,-0.24,0.08,0.413,0.041,9.75,0.51,,83.7,0.3,Gaia,10.894,148.254,73.45825,-17.77341889,GJ_180,-14.478,0.001
22,266,GL2066,rj50.296,Mann,GJ 2066,1,AL,1,455139555,3500,60,0.461,0.017,4.766,0.049,-0.12,0.08,0.452,0.045,9.78,0.51,,112.04,0.8,Gaia,10.091,158.123,124.0332554,1.30257389,GJ_2066,62.18,0.0006
32,276,GL745A,rj97.2588,Mann,Gl 745A,1,AL,1,384491142,3500,60,0.31,0.012,4.927,0.05,-0.33,0.08,0.296,0.03,9.75,0.52,,113.44,0.34,Gaia,10.774,140.815,286.7731863,20.88803917,GJ_745_A,11.501,0.0009
53,297,HIP47513,rj149.148,Mann,Gl 361,1,AL,1,307646256,3500,60,0.485,0.019,4.739,0.05,-0.05,0.08,0.47,0.047,9.83,0.49,,86.23,0.31,Gaia,10.37,164.193,145.2931688,13.20956194,GJ_361,32.349,0.0274
79,394,GL412A,rj50.359,Von Braun,GJ412,1,AL,1,252803603,3497,39,0.398,0.009,4.87,0.02,-0.4,0.1,0.41,0.02,9.73,0.52,,206.94,1.19,Hipparcos,8.78,174.708,166.3690749,43.5267754,GJ_412_A,68.84,0.0002
24,268,GL250B,rj15.1505,Mann,Gl 250 B,1,AL,,282210724,3481,60,0.46,0.017,4.76,0.049,0.14,0.03,0.444,0.044,9.69,0.52,,,,None,10.05,167.672,103.0752083,-5.19005556,GJ_250_B,-7.252,0.0007
29,273,GL625,rj35.852,Mann,Gl 625,1,AL,1,207492082,3475,60,0.331,0.012,4.897,0.049,-0.35,0.08,0.315,0.032,9.75,0.51,,154.08,0.6,Gaia,10.17,147.982,246.3525967,54.30410056,GJ_625,-13.01,0.0006
